Field Year,Original sample no,Feature,Period,Feature Type,Light fraction wt.,Charcoal (g),Vol,Total Seed no,Total Seed Density,Millets,Luxury cereal,Bean,Millet %,LC %,Bean %,Foxtail millet,Broomcorn millet,Rice,Wheat,Barley,Beefsteak plant,soybean,azuki,Greenfoxtail,Other Setaria,Panic grass,Panic/manna,Echinocloa,Paniceae,Other grass,Kummerowia sp.,Lespedeza or Melilotus sp.,OtherWild  bean,Chenopod,Knotweed,Sorrel,Mosla,Mustard,Nightshade,Perslane,"Spurge, Borage",Hydrocharitaceae,Gailum sp.,viola sp.,Eleusine,Fimbristylis sp.,Burlush,Sedge,Bramble,Plum,hackberry,Chinese date,berry,grape,other rose family,Unknown seed,Nut,Tuber,Other vegetative,04 mm Done %,0.2mm Done %
2002,194,Ter1 Unit29 Pit11,Erlitou,Ash pit,,0.30,8,63,7.88,7,1,26,11%,2%,41%,7,,,1,,,24,,,5,4,,,4,1,,,2,2,,,,,,,,,,,,,,,,,,,1,,,12,,,,,
2002,212,Ter2 Unit17 Pit10 Pro5,Erlitou,Ash pit,,0.30,10,244,24.40,110,0,0,45%,0%,0%,110,,,,,,,,,27,5,,,58,,,,,9,,,,,,,,,,,,,,,,,,,,,,35,,,,,
2002,214,TEr2 TP1 Unit39 Con4,Erlitou,Ash pit,,0.18,3,8,2.67,0,0,2,0%,0%,25%,,,,,,,2,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2002,218,TEr2 Pit17,Erlitou,Ash pit,,0.23,7,49,7.00,7,0,1,14%,0%,2%,7,,,,,,,,,16,7,,,17,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,226,TEr2 Unit18 Pit11 Pro6,Erlitou,Ash pit,,0.50,9,51,5.67,7,0,4,14%,0%,8%,1,6,,,,,,,,,2,,,10,1,,,4,18,,,,,,,,,,,,,,1,,,,,,,,8,,,,,
2002,234,TEr1 Unit8 Pit2,Erlitou,Ash pit,,0.68,3,51,17.00,30,0,7,59%,0%,14%,12,18,,,,,7,,,4,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,236,TEr2 Unit21 Pit12 Pro6,Erlitou,Ash pit,,0.24,4,45,11.25,8,1,2,18%,2%,4%,8,,,1,,,,,,6,,,,20,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,237,TEr2 Unit16 Pit9 Pro5,Erlitou,Ash pit,,0.75,7,14,2.00,6,0,5,43%,0%,36%,6,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,238,Ter2 Pit7 Prof4,Erlitou,Ash pit,,0.12,8,79,9.88,11,3,1,14%,4%,1%,11,,,3,,,,,,6,4,,2,7,,,,1,44,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,240,TEr2 Unit18 Pit10 Pro5,Erlitou,Ash pit,,0.05,8,112,14.00,38,0,5,34%,0%,4%,38,,,,,,,,,5,3,,,19,1,,,5,23,,,,,,,,,,,,,,,,,,,,,,18,,,,,
